event_id,origin_time,origin_year,magnitude,magnitude_type,depth_km,latitude,longitude,region_code,num_responses,max_cdi,severe_label,sequence_id,role
us2000306u,2015-07-26T07:05:10Z,2015,5.9,mww,52.0,-9.2585,112.6695,G-010+0110,19,3.9,0,SEQ_us2000306u,train
us200030kn,2015-07-27T21:41:21Z,2015,7.0,mww,48.0,-2.6286,138.5277,G-010+0130,10,8.5,1,SEQ_us200030kn,train
us2000314h,2015-07-29T00:10:24Z,2015,5.9,mww,12.0,8.2309,-77.3152,G+000-0080,39,3.4,0,SEQ_us2000314h,train
ak0159nc9dk8,2015-07-29T02:35:59Z,2015,6.4,mw,119.3,59.8935,-153.1962,G+050-0160,1099,6.1,1,SEQ_ak0159nc9dk8,train
us10002w8v,2015-07-29T23:41:40Z,2015,5.5,mww,9.0,-25.3727,154.2281,G-030+0150,51,4.9,0,SEQ_us10002w8v,train
us10002x0r,2015-07-31T23:39:25Z,2015,5.0,mwr,63.37,14.1304,-91.4205,G+010-0100,41,5.2,0,SEQ_us10002x0r,train
us10002x1x,2015-08-01T03:38:44Z,2015,5.4,mww,9.0,-25.343,154.3348,G-030+0150,74,4.1,0,SEQ_us10002w8v,train
us10002x2n,2015-08-01T04:46:24Z,2015,5.2,mb,10.0,-25.4093,154.1987,G-030+0150,16,4.1,0,SEQ_us10002w8v,train
us10002xe9,2015-08-03T05:30:11Z,2015,5.0,mwr,43.15,37.7836,141.5287,G+030+0140,11,3.4,0,SEQ_us10002xe9,train
us10002y1z,2015-08-05T09:13:24Z,2015,5.7,mww,100.85,16.1408,-93.664,G+010-0100,25,4.5,0,SEQ_us10002y1z,train
us10002zzn,2015-08-07T01:25:02Z,2015,5.8,mww,11.0,-2.1412,28.8973,G-010+0020,23,4.6,0,SEQ_us10002zzn,train
us10002zzr,2015-08-07T01:28:37Z,2015,5.5,mwc,10.0,-2.0913,28.9515,G-010+0020,13,4.1,0,SEQ_us10002zzn,train
us100030qs,2015-08-10T10:05:25Z,2015,5.9,mww,224.0,36.5326,71.2147,G+030+0070,116,4.3,0,SEQ_us100030qs,development
us100031b7,2015-08-12T00:14:40Z,2015,5.5,mww,30.0,-31.6968,-71.6227,G-040-0080,21,3.8,0,SEQ_us100031b7,train
us100031xw,2015-08-13T14:08:00Z,2015,5.6,mww,17.32,23.9689,122.4897,G+020+0120,15,3.8,0,SEQ_us100031xw,development
us1000322j,2015-08-13T19:30:14Z,2015,5.2,mww,58.03,14.0922,-91.3013,G+010-0100,20,4.8,0,SEQ_us10002x0r,train
us1000323i,2015-08-13T20:13:33Z,2015,5.1,mww,34.63,37.2211,141.3681,G+030+0140,32,5.3,0,SEQ_us10002xe9,train
us100034du,2015-08-23T23:10:04Z,2015,5.7,mww,31.11,-29.7191,-71.2958,G-030-0080,49,4.3,0,SEQ_us100034du,train
us100035pm,2015-08-28T14:46:20Z,2015,5.0,mb,34.97,36.3989,140.8818,G+030+0140,40,4.0,0,SEQ_us100035pm,train
